"Rank","AvgTotal","Folder","AvgCredito","AvgDebito","AvgExtrato","AvgValidacoes","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"74","0.937466","fabionaspolini-sync","0.945267","0.880711","1.271505","12.926829","nginx","dotnet","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/fabionaspolini-sync"
"75","0.942458","edy-elixir-e-ranger-de-dentes","0.95146","0.897252","1.067204","12.178862","nginx","mnesia","elixir","unknown","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/edy-elixir-e-ranger-de-dentes"
"76","0.942653","pedrohenriquea-pgbouncer","0.998489","0.891553","0.656452","12.731707","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/pedrohenriquea-pgbouncer"
"77","0.967595","giovannibassi-vb","0.810926","0.828694","1.173118","67.943089","envoy","vb","aspnet","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi-vb"
"78","0.973123","marcospaulo-go","1.051208","0.890772","1.074194","13.390244","nginx","Go","unknown","PostgreSQL","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcospaulo-go"
"79","0.985448","vitorsalgado-nodejs","0.946425","0.944856","1.223656","16.772358","custom","javascript","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitorsalgado-nodejs"
"80","0.99335","hiroshimorowaka-golang","1.031017","0.919339","1.003763","18.617886","nginx","Golang","Gin-Gonic","Postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/hiroshimorowaka-golang"
"81","0.998114","matheuscamargo","1.028499","0.942789","1.11129","12.219512","nginx","go","unknown","sqlite","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/matheuscamargo"
"82","1.010894","ghost-in-the-machine-86","0.978852","0.897453","2.422043","21.422764","nginx","node","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ghost-in-the-machine-86"
"83","1.013089","vineboneto-js","1.041742","0.932526","0.983333","22.813008","nginx","NodeJS","unknown","Postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vineboneto-js"
"84","1.025072","fabionaspolini","1.032679","0.969289","1.155376","15.813008","nginx","dotnet","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/fabionaspolini"
"85","1.028243","garnizeh-alternative","1.040534","0.985527","1.091935","11.853659","nginx","go","unknown","sqlite3","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/garnizeh-alternative"
"86","1.046616","alan_albuquerque_capivara_JIT","1.065206","0.993469","1.240323","12.252033","custom","dotnet","unknown","CapivaraDB","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alan_albuquerque_capivara_JIT"
"87","1.04977","eriksilva","1.015055","0.926954","3.099462","15.260163","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/eriksilva"
"88","1.058713","felipeparaujo","1.016767","0.94473","2.556989","21.926829","nginx","go","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipeparaujo"
"89","1.07307","gasparbarancelli-procedure","0.94285","0.983006","3.547312","13.723577","nginx","Quarkus","unknown","Postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli-procedure"
"90","1.074484","cristiano182","0.991994","0.965129","3.377419","14.829268","nginx","NodeJS","unknown","PostgresSQL","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/cristiano182"
"91","1.09167","lbaesso-php","1.096375","1.048891","1.183333","12.739837","nginx","php","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lbaesso-php"
"92","1.092695","ddd-nodejs","1.009114","0.978089","2.714516","27.01626","nginx","NodeJS","hyper-express","Postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ddd-nodejs"
"93","1.096857","renan-norba","1.171601","1.036258","0.712903","14.373984","nginx","elixir","unknown","mnesia","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renan-norba"
"94","1.116677","eugenio-cunha","1.145166","1.040494","1.495161","15.357724","nginx","go","fiber","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/eugenio-cunha"
"95","1.116937","alan_albuquerque_capivara","1.152769","1.058724","1.284946","11.560976","custom","dotnet","unknown","custom","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alan_albuquerque_capivara"
"96","1.119604","rmauro-postgresql","0.93429","0.844907","7.484946","23.357724","envoy","C#","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rmauro-postgresql"
"97","1.1437","ivmello","1.12422","1.028391","3.065591","12.406504","nginx","golang","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ivmello"
